Company,Cifra Afaceri
Company,N/A
CENTRUL MULTIMEDIA SARBO-ROMAN MEDIALINK,N/A
HUNYADI LASZLO ÎNTREPRINDERE INDIVIDUALĂ,N/A
ADA SYSTEM TELECOM SRL,N/A
ARNET TELECOM SRL,N/A
BANAT NETWORK INTEGRATED COMMUNICATIONS SRL,N/A
BROTHER SRL,N/A
CABEL TV SISTEM SRL,N/A
CLAR TELEVISION SRL,N/A
CNETWORK FIBERZONE SRL,N/A
COMARAD TELPREST SRL,N/A
COMDASI TELECOM SRL,N/A
COMETEINET TELECOM SRL,N/A
CONS PROD 21 SRL,N/A
CORE JOY COMMUNICATION SRL,N/A
DANMARK COMPANY SRL,N/A
DC FIBER HOME SRL,N/A
DEYVID COM SRL,N/A
DIGI COMMUNICATION SRL,N/A
DYNAMIC DISTRIBUTION SRL,N/A
ELCOMSERV SRL,N/A
ELECTRO-SAT SRL,N/A
EURONET SYSTEM SRL,N/A
FIBERDATA ZYX SRL,N/A
FIBERPLUS SRL,N/A
FREESAT SRL,N/A
GABMAR CABLE SRL,N/A
GLIGA COMIMPEX SRL,N/A
GMB COMPUTERS SRL,N/A
HD CAT SRL,N/A
HINGSAT COMUNICATION SRL,N/A
IMPULS CONSTRUCT SRL,N/A
INES GROUP SRL,N/A
INFO-JUNIOR SRL,N/A
INTERLOGIC DESIGN SRL,N/A
INTERNATIONAL OLISAT SRL,N/A
INTERSAT SRL,N/A
KODAN TV SRL,N/A
KYSS CABLE SAT SRL,N/A
MARCO BEN COMPANY SRL,N/A
MAVLINK SRL,N/A
MC SAT SRL,N/A
MEDIA SAT SRL,N/A
MEDIA SUD SRL,N/A
MEDIA SYSTEM TELEVISION SRL,N/A
MEDICOM STARNET SRL,N/A
MEGA NET TELEKOM SRL,N/A
MIRDARA SRL,N/A
MONDO-BYTE SRL,N/A
NASTY TELSAT SRL,N/A
NETERGY TELECOM SRL,N/A
NETFIL SRL,N/A
NEXT LEVEL CONNECT SRL,N/A
NEXT START SRL,N/A
NEXTGEN COMMUNICATIONS SRL,N/A
NICOLPET-TV SRL,N/A
OMEGA NET SRL,N/A
ORANGE ROMANIA COMMUNICATIONS SA,N/A
ORANGE ROMANIA SA,N/A
OTI-MEX SRL,N/A
OVIAND SAT SRL,N/A
P.C. NET-C.A.T.V. SRL,N/A
PHOENIX TELECOM &NETWORK SERVICES SRL,N/A
POWER NET TELECOM SRL,N/A
RANDOM TELECOM SRL,N/A
RCS & RDS SA,N/A
RETEAUA DE CABLU TV SRL,N/A
ROUMANIAN ELECTRONIC SERVICE SRL,N/A
SEBISAT-TV SRL,N/A
SONISAT SRL,N/A
SOUNDWAVE SRL,N/A
SPEEDNET INTER SOLUTIONS SRL,N/A
SPEEDNETWORK SRL,N/A
SWEET TV GROUP RO SRL,N/A
TCS MEDIA POWER NETWORK SRL,N/A
TELECOM ARDEAL SRL,N/A
TELEPLUS SRL,N/A
TELEVIZIUNEA PUTNA SRL,N/A
TRATEL COMUNICATII SRL,N/A
TRATEL SERV SRL,N/A
TV ALFA OMEGA 2005 SRL,N/A
TV NET STAR 2018 SRL,N/A
TV SAT 2002 SRL,N/A
TV SAT PARTENER SRL,N/A
TV SAT SRL,N/A
VODAFONE ROMANIA SA,N/A
TOTH PIROSKA INTREPRINDERE INDIVIDUALA,N/A
VAN GROUP S.R.O.,N/A
